CO_IES;NO_CINE_ROTULO;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_NACESTRANG;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_NACESTRANG;ANO
55;Ciências naturais formação de professor;43;17;26;0;26;6;3;1;0;0;5;0;2;0;0;1;14;9;5;0;3;5;0;2;0;0;6;1;0;2;0;0;2013
55;Geofísica;33;10;23;0;30;2;0;0;0;1;2;1;1;0;0;0;22;5;17;0;10;10;0;0;0;0;13;1;0;2;0;0;2013
55;Geologia;53;24;29;0;51;2;0;0;0;0;4;1;0;0;0;1;50;11;39;0;31;15;2;0;0;0;31;1;6;3;0;0;2013
55;Matemática;38;6;32;1;33;1;1;0;1;0;10;0;2;1;0;0;7;0;7;0;6;1;0;0;0;0;4;0;2;0;0;0;2013
55;Matemática formação de professor;140;42;98;0;84;27;9;6;2;0;19;3;0;0;0;2;56;22;34;0;15;24;4;4;0;0;29;0;8;5;0;1;2013
55;Matemática aplicada e computacional;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Matemática aplicada e computacional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Matemática aplicada e computacional;3;0;3;0;1;2;0;0;0;0;3;0;0;0;0;0;2;1;1;0;2;0;0;0;0;0;2;0;0;0;0;0;2013
55;Matemática aplicada e computacional;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2013
55;Matemática aplicada e computacional;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2013
55;Matemática aplicada e computacional;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Matemática aplicada e computacional;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;2;0;2;0;0;2;0;0;0;0;0;2013
55;Matemática aplicada e computacional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
